EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20230301,닛산,196000,11.8
20170901,닛산,200000,8.6
20180201,포르쉐,205000,10.5
20180301,랜드로버,161000,10.8
20240301,포르쉐,165000,15.0
20190901,포르쉐,116000,5.7
20191001,미쓰비시,142000,8.8
20230501,미쓰비시,149000,15.3
20211101,미쓰비시,149000,13.3
20211201,미쓰비시,138000,12.2
20200201,미쓰비시,179000,10.2
20230701,북기은상,131000,6.4
20230801,북기은상,118000,5.6
20231001,북기은상,148000,5.8
20190401,포르쉐,147000,7.9
20220501,마세라티,140000,8.3
20210201,로버,189000,13.8
20180301,Chevrolet,228000,18.0
20200601,스마트,136000,12.4
20200901,스마트,142000,13.7
20210201,스마트,150000,13.0
20240401,스마트,217000,19.1
20230901,스마트,157000,14.0
20230201,스마트,186000,13.5
20200201,스마트,151000,15.2
20210301,스마트,190000,12.6
20191001,다이하쓰,106000,12.1
20150801,닛산,147000,6.5
20170501,이글,194000,20.2
20210901,Chevrolet,102000,23.9
20190801,Chevrolet,257000,22.8
20240401,마쯔다,191000,21.8
20181201,시트로엥,202000,22.8
20150701,시트로엥,172000,18.2
20171201,시트로엥,159000,20.3
20191001,피아트,127000,23.4
20170801,란치아,137000,20.7
20180101,란치아,142000,21.3
20160401,뷰익,216000,19.4
20191101,이글,273000,24.8
20240101,이글,130000,28.5
20201201,마쯔다,160000,26.2
20160801,Chevrolet,128000,21.4
20170101,미쓰비시,121000,20.9
20171001,시트로엥,206000,21.8
20151001,머큐리,176000,20.6
20150901,머큐리,231000,21.8
20220101,머큐리,158000,27.4
20150701,머큐리,213000,19.4
20160601,머큐리,184000,21.0
20170801,머큐리,113000,22.8
20210101,Chevrolet,131000,12.2
20171001,포르쉐,153000,11.1
20170701,벤틀리,226000,8.6
20211101,다이하쓰,117000,12.9
20170601,플리머스,101000,16.3
20230701,뷰익,133000,25.8
20190901,이스즈,160000,22.9
20200101,마쯔다,221000,18.0
20180301,스즈키,177000,9.4
20210701,다이하쓰,151000,10.8
20180701,이스즈,180000,15.9
20220501,스마트,121000,13.8
20221001,스마트,149000,10.9
20191101,아큐라,231000,9.9
20221101,스즈키,109000,7.2
20170901,포드,202000,13.4
20240101,닷지,219000,15.3
20210801,볼보,229000,14.3
20191201,혼다,199000,12.4
20231101,폰티악,172000,22.2
20170901,링컨,206000,14.0
20221201,렉서스,228000,15.9
20180401,닷지,223000,15.7
20171201,지프,234000,15.1
20170801,닷지,250000,17.9
20231001,폭스바겐,220000,13.1
20200901,BMW,214000,13.1
20230901,폭스바겐,220000,13.4
20220601,BMW,212000,14.6
20210601,재규어,201000,12.0
20221001,벤츠,220000,14.9
20211201,벤츠,224000,15.1
20190701,닷지,176000,14.7
20191201,Chevrolet,239000,17.3
20180801,사브,181000,15.2
20200801,닷지,219000,14.5
20220501,BMW,222000,14.7
20191101,혼다,199000,11.8
20220701,벤츠,228000,15.0
20231101,토요타,194000,12.0
20180801,BMW,211000,13.5
20210301,BMW,215000,14.3
20190601,토요타,194000,10.5
20170601,혼다,173000,10.5
20211201,Chevrolet,185000,8.1
20190101,폰티악,167000,14.1
20160601,지프,212000,14.2
20201001,벤츠,225000,14.3
20181001,볼보,221000,14.5
20240501,혼다,215000,15.7
20240301,링컨,203000,13.5
20190401,혼다,202000,11.6
20200101,벤츠,213000,13.3
20210101,지프,208000,14.5
20151101,마쯔다,142000,23.9
20180101,혼다,187000,10.3
20160301,포드,189000,14.2
20160701,크라이슬러,172000,11.5
20230901,토요타,199000,11.9
20170501,토요타,188000,13.7
20181201,지프,230000,14.0
20170501,포드,184000,13.4
20151001,크라이슬러,175000,12.3
20190301,혼다,197000,11.1
20190301,BMW,220000,14.0
20211001,미니,151000,11.6
20210401,렉서스,216000,15.3
20160801,폰티악,154000,18.7
20210601,토요타,203000,12.5
20161001,뷰익,137000,10.1
20190601,닷지,179000,16.3
20171001,푸조,192000,10.2
20220101,스즈키,149000,9.8
20230101,혼다,201000,14.2
20211101,닛산,182000,11.4
20211101,혼다,204000,13.7
20180201,볼보,218000,15.3
20200901,렉서스,221000,14.1
20160301,BMW,222000,14.0
20210201,벤츠,229000,14.6
20160301,혼다,161000,12.7
20230501,미니,153000,13.4
20181101,폭스바겐,188000,10.5
20191201,토요타,184000,10.3
20201201,토요타,188000,12.1
20220701,폭스바겐,226000,12.6
20210401,폭스바겐,209000,11.7
20211001,크라이슬러,202000,13.6
20170301,폭스바겐,186000,11.3
20200701,볼보,225000,14.2
20170601,토요타,190000,12.1
20231201,벤츠,220000,14.7
20220101,아우디,203000,13.1
20240301,토요타,226000,13.1
20220101,벤츠,231000,14.4
20200201,폭스바겐,196000,11.2
20191201,인피니티,188000,11.9
20200901,아우디,202000,12.4
20170601,아큐라,234000,9.8
20200801,토요타,194000,10.6
20231101,인피니티,221000,14.1
20210501,사브,190000,17.1
20220301,아큐라,228000,12.0
20220701,혼다,216000,14.0
20201001,아우디,195000,12.5
20210701,미니,151000,12.4
20170701,혼다,161000,10.4
20160701,닛산,200000,8.2
20220201,렉서스,226000,15.2
20230401,크라이슬러,213000,14.5
20171101,혼다,163000,10.5
20200201,벤츠,218000,14.1
20240501,아큐라,134000,13.5
20181201,볼보,209000,14.4
20220801,테슬라,101000,5.0
20170101,토요타,165000,14.7
20220501,폭스바겐,217000,12.8
20240201,BMW,217000,14.2
20191201,벤츠,230000,13.6
20190701,아우디,199000,12.3
20190101,스바루,178000,7.5
20200701,인피니티,182000,11.2
20200401,혼다,205000,12.3
20170201,혼다,186000,9.7
20240301,렉서스,234000,16.6
20170401,인피니티,155000,7.9
20240601,포르쉐,187000,14.0
20160201,캐딜락,157000,11.8
20200801,아우디,190000,11.7
20151101,벤츠,208000,13.2
20160201,렉서스,217000,10.7
20210901,BMW,219000,14.3
20190901,지프,217000,11.7
20181201,크라이슬러,180000,12.6
20160801,BMW,215000,14.3
20240401,인피니티,197000,14.4
20180401,혼다,179000,10.4
20210101,랜드로버,197000,12.9
20230801,미니,156000,12.8
20161201,닛산,139000,8.3
20231001,포르쉐,163000,12.4
20180601,벤츠,230000,13.9
20200301,폭스바겐,214000,11.6
20180701,닛산,164000,9.8
20161201,크라이슬러,191000,12.3
20210601,크라이슬러,206000,14.3
20170701,BMW,217000,13.5
20230701,미니,162000,12.4
20231001,마쯔다,145000,22.0
20220401,닛산,210000,11.3
