EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20230501,KGM,227000,16.7
20200301,현대,221000,16.5
20181001,KGM,240000,15.9
20230701,기아,220000,15.7
20200401,현대,222000,16.5
20170101,한국지엠,183000,15.3
20180701,기아,218000,15.4
20181101,한국지엠,177000,15.4
20180501,기아,217000,15.3
20161001,르노코리아,231000,13.4
20230201,기아,215000,15.6
20180201,기아,222000,15.1
20190101,한국지엠,177000,15.4
20160801,기아,214000,15.0
20181001,르노코리아,223000,14.4
20210601,기아,225000,15.8
20151201,KGM,243000,14.7
20221201,기아,216000,15.6
20210501,르노코리아,218000,15.4
20231101,현대,228000,17.1
20230301,기아,225000,15.7
20201101,르노코리아,221000,15.2
20201201,르노코리아,216000,15.2
20211001,KGM,230000,16.5
20181201,르노코리아,222000,14.4
20211001,기아,223000,15.7
20200501,KGM,230000,16.4
20231201,한국지엠,178000,16.2
20181101,KGM,236000,15.8
20221101,르노코리아,212000,16.1
20200201,한국지엠,179000,15.2
20220901,한국지엠,176000,15.6
20210601,르노코리아,218000,15.3
20180301,KGM,238000,15.6
20230901,한국지엠,179000,16.0
20160601,르노코리아,237000,13.8
20231001,KGM,224000,16.3
20180401,KGM,239000,15.6
20230301,르노코리아,216000,16.3
20190301,KGM,232000,15.9
20240201,쉐보레,179000,10.8
20240401,쉐보레,183000,11.1
20230101,쉐보레,173000,9.9
20220301,쉐보레,168000,9.2
20220901,쉐보레,170000,9.5
20211201,쉐보레,173000,8.9
20211101,쉐보레,169000,8.9
20160601,KGM,244000,15.1
20160501,KGM,239000,14.9
20200901,KGM,230000,16.1
20160401,KGM,245000,14.9
20160301,르노코리아,239000,13.0
20160801,르노코리아,231000,13.8
20151001,르노코리아,237000,13.1
20200401,쉐보레,168000,7.7
20200301,쉐보레,157000,7.7
20181101,쉐보레,151000,6.5
20170801,쉐보레,149000,5.9
20170501,쉐보레,139000,5.8
20230801,제네시스,178000,6.5
20230401,제네시스,182000,6.2
20211201,제네시스,190000,5.5
20170501,현대,213000,16.5
20170801,한국지엠,178000,15.4
20220601,현대,223000,16.7
20150701,현대,213000,16.4
20160201,현대,213000,16.3
20150801,기아,213000,14.8
20190301,현대,222000,16.3
20201201,한국지엠,178000,15.3
20190401,기아,224000,15.5
20161101,기아,217000,15.1
20170801,현대,212000,16.6
20211101,기아,220000,15.7
20201001,KGM,232000,16.5
20201101,현대,221000,16.6
20200201,현대,218000,16.2
20211001,현대,222000,16.8
20210801,현대,221000,16.6
20180101,현대,213000,16.3
20160301,현대,214000,16.5
20201001,현대,222000,16.6
20190601,기아,219000,15.6
20200401,한국지엠,181000,15.2
20220301,KGM,227000,16.8
20190201,현대,219000,16.2
20230101,르노코리아,212000,16.1
20151001,기아,213000,14.9
20161201,르노코리아,226000,13.7
20181101,현대,217000,16.5
20220701,현대,225000,16.6
20210501,현대,225000,17.0
20181001,현대,218000,16.4
20220501,현대,226000,16.9
20221001,현대,224000,17.0
20220801,한국지엠,178000,15.5
